Data,Inflow,Net_evaporation,storage,vol_reg,evap,vol_vert,falha
1912,1241.629,1.5903,12398.999610573313,612.0,193.7082790902503,0.0,0
1913,834.367,1.5903,13182.90257979616,612.0,200.21183353665643,0.0,0
1914,1499.9080000000001,1.5903,19171.92216741368,612.0,273.80821135573933,213.13904394087422,0
1915,169.61499999999998,1.5903,11290.407684066824,612.0,162.9885979802838,0.0,0
1916,532.468,1.5903,8717.30597621968,612.0,137.21142136057907,0.0,0
1917,4126.005,1.5903,20035.44298532021,612.0,308.5188429357522,2144.912735814989,0
1918,477.406,1.5903,17185.78442620574,612.0,245.62066951076906,0.0,0
1919,0.0,1.5903,9610.898979888369,612.0,138.04776677423604,0.0,0
1920,2126.449,1.5903,16275.684982206967,612.0,259.4328211831758,195.5801252010158,0
1921,1440.277,1.5903,20777.10611740189,612.0,293.8782995121753,528.5391546894809,0
1922,1316.817,1.5903,19725.491025322153,612.0,285.30087454205795,421.3987093784244,0
1923,515.31,1.5903,17558.833134798,612.0,246.32539940134802,0.0,0
1924,6838.252,1.5903,20292.046238633226,612.0,320.3143080967641,5575.8168568942365,0
1925,1973.56,1.5903,20284.4583852709,612.0,287.05868868768954,1197.559476575631,0
1926,3219.674,1.5903,20006.6227543029,612.0,293.92316907734585,2253.3266333771835,0
1927,224.193,1.5903,14184.367372432931,612.0,200.57652807646735,0.0,0
1928,271.445,1.5903,7489.74331036041,612.0,115.75413157635101,0.0,0
1929,416.52299999999997,1.5903,4009.921684999166,612.0,68.14706454748867,0.0,0
1930,404.638,1.5903,1239.6854600315262,454.38449512015524,23.802129825925153,0.0,4
1931,265.862,1.5903,300.10195564940364,259.3593881711736,6.502611828826426,0.0,8
1932,18.138,1.5903,0.0,17.956993300638104,0.1810066993618987,0.0,12
1933,980.1179999999999,1.5903,5415.569000479108,468.01831105415505,103.98725364121833,0.0,3
1934,1924.03,1.5903,16852.37813231675,612.0,259.0933878108844,76.03904077519337,0
1935,2171.6710000000003,1.5903,20341.27858410016,612.0,296.2105884004959,1176.878069353988,0
1936,55.066,1.5903,13824.447001394446,612.0,192.81876161469583,0.0,0
1937,356.80400000000003,1.5903,7765.116964185792,612.0,120.97308902819577,0.0,0
1938,135.507,1.5903,1941.8391374648738,452.6163076232031,28.561190697969792,0.0,4
1939,607.0649999999999,1.5903,2250.550538905494,561.0,45.12865820230775,0.0,1
1940,1201.337,1.5903,7463.604635580612,510.9157207191482,131.83814876687484,0.0,2
1941,659.945,1.5903,8406.453842346424,612.0,135.41672331961615,0.0,0
1942,50.524,1.5903,2562.371997735325,486.31269246237645,36.259056529676954,0.0,3
1943,387.185,1.5903,930.9638603097736,369.0669330387965,18.118066961203585,0.0,6
1944,461.337,1.5903,582.6491460411266,384.6593647982182,16.55793165022541,0.0,6
1945,1442.934,1.5903,9654.024735203679,612.0,165.82669661466267,0.0,0
1946,231.624,1.5903,6806.164120314345,612.0,105.07911068387345,0.0,0
1947,4134.499,1.5903,15850.138828311896,612.0,269.8168912913325,1552.4540049616871,0
1948,754.808,1.5903,21353.898125912285,612.0,290.94997122919096,414.91734745527515,0
1949,341.812,1.5903,14910.836083609904,612.0,212.7832064585644,0.0,0
1950,1642.371,1.5903,17197.970703205,612.0,263.351640939887,267.0815052786247,0
1951,93.261,1.5903,13148.471099151702,612.0,185.7624553051308,0.0,0
1952,143.46699999999998,1.5903,5604.457805176434,612.0,85.74865066390238,0.0,0
1953,117.835,1.5903,297.70006300864395,247.33150439435806,5.627718275066842,0.0,8
1954,81.44500000000001,1.5903,0.0,80.65348839209075,0.79151160790925,0.0,12
1955,745.7429999999999,1.5903,3321.2590785238344,568.1638897237524,64.68573639852471,0.0,1
1956,1182.6009999999999,1.5903,7734.4234084421405,612.0,135.7606369616044,0.0,0
1957,1012.701,1.5903,10833.246972606597,612.0,175.30453283159628,0.0,0
1958,11.611,1.5903,5524.088100888805,612.0,81.50136155671048,0.0,0
1959,256.451,1.5903,624.0778499378205,336.56330122718066,11.127541300630734,0.0,6
1960,2495.13,1.5903,15217.671476363088,510.0,240.86957378172323,422.81927461735904,2
1961,653.04,1.5903,17086.370083536112,612.0,243.26483096945924,0.0,0
1962,348.098,1.5903,12055.851417967644,612.0,177.28231579751045,0.0,0
1963,1174.471,1.5903,13755.162022605957,612.0,210.99151252350435,0.0,0
1964,2518.75,1.5903,19344.555829401274,612.0,294.24308785727965,1071.4369054576546,0
1965,963.943,1.5903,19922.865472236277,612.0,282.90343431025144,229.23785244443843,0
1966,393.11199999999997,1.5903,16268.80739386373,612.0,227.32249827118775,0.0,0
1967,1429.893,1.5903,17620.690957835282,612.0,266.79164593679894,102.83257917484661,0
1968,966.349,1.5903,19846.320707891806,612.0,281.48340429408364,71.20575163150397,0
1969,987.315,1.5903,19869.12012041868,612.0,282.21821649834845,93.17018393200419,0
1970,162.45800000000003,1.5903,14058.798365650106,612.0,197.73748547854865,0.0,0
1971,175.435,1.5903,6758.755395279674,612.0,103.42105659513317,0.0,0
1972,22.186,1.5903,673.6399762490773,239.62512300276796,9.323267425593178,0.0,8
1973,989.004,1.5903,4833.029007569024,531.829132369984,96.4851468529745,0.0,3
1974,6533.206999999999,1.5903,17837.95910023895,612.0,296.9381474696514,4519.557742468202,0
1975,943.973,1.5903,20167.114688077614,612.0,285.69831695898057,61.5336256412761,0
1976,851.366,1.5903,19811.34232116863,612.0,276.78757583743044,68.01985609310623,0
1977,1169.61,1.5903,19596.43444866474,612.0,281.5341777493365,194.55209418391792,0
1978,423.595,1.5903,16164.08197805239,612.0,229.5752686705964,0.0,0
1979,123.20899999999999,1.5903,9004.008137792227,612.0,133.27295656526013,0.0,0
1980,595.408,1.5903,6392.6909257380485,612.0,104.40064950869478,0.0,0
1981,1448.039,1.5903,11349.1008264492,612.0,187.68388459546472,0.0,0
1982,150.351,1.5903,8178.327215343953,612.0,122.52774072483484,0.0,0
1983,1.4500000000000002,1.5903,1172.0387685218407,315.62034329915775,15.19534101113066,0.0,6
1984,734.092,1.5903,3399.1733206237886,489.36566927304534,69.42402066165937,0.0,3
1985,6135.337,1.5903,17213.126159986576,612.0,291.1910666654885,3914.1972383167304,0
1986,2088.728,1.5903,20473.63479450864,612.0,297.0181138852886,1183.6620220669888,0
1987,750.665,1.5903,19416.508100369174,612.0,274.3715830882749,0.0,0
1988,823.4759999999999,1.5903,18168.37284096163,612.0,262.6997079108674,0.0,0
1989,3742.404,1.5903,19608.64431437376,612.0,304.5183497728676,2328.773582608318,0
1990,444.277,1.5903,20784.706755804946,612.0,283.49272687534113,0.0,0
1991,227.099,1.5903,13620.215860903656,612.0,194.95205229434538,0.0,0
1992,293.546,1.5903,7848.995326278154,612.0,120.2995348690903,0.0,0
1993,176.73899999999998,1.5903,1799.5071499039766,477.2002474747473,29.197084236946118,0.0,3
1994,2.705,1.5903,0.0,2.670780612528694,0.03421938747130587,0.0,12
1995,1257.669,1.5903,7262.348331990948,510.721302774006,134.13119646198558,0.0,2
1996,507.884,1.5903,7115.615223781477,612.0,119.57955734424003,0.0,0
