Data,Inflow,Net_evaporation,storage,vol_reg,evap,vol_vert,falha
1912,1241.629,1.5903,8549.41143680318,780.0,141.85024976547137,0.0,0
1913,834.367,1.5903,8016.065203922526,780.0,131.59686673476492,0.0,0
1914,1499.9080000000001,1.5903,14690.701071935364,780.0,220.27839341513226,0.0,0
1915,169.61499999999998,1.5903,6123.507619157481,780.0,90.18565441293195,0.0,0
1916,532.468,1.5903,2523.783499077177,693.8795759553949,44.56831792708722,0.0,2
1917,4126.005,1.5903,18418.34853895467,780.0,292.5360288170551,1608.741244796704,0
1918,477.406,1.5903,15395.727734976526,780.0,221.79472809078848,0.0,0
1919,0.0,1.5903,6204.27720143282,780.0,87.65044096781406,0.0,0
1920,2126.449,1.5903,13566.288132630221,701.8058897012868,226.7919321304234,0.0,2
1921,1440.277,1.5903,19847.43626538735,780.0,283.4690959640802,261.30115725098335,0
1922,1316.817,1.5903,18988.953024227238,780.0,276.84866081706514,261.84672750509526,0
1923,515.31,1.5903,15612.824735651018,780.0,220.58506953535388,0.0,0
1924,6838.252,1.5903,19524.38522559286,780.0,310.6387742446266,5275.2300197676905,0
1925,1973.56,1.5903,19586.37586372113,780.0,278.0977014952179,1051.0616537729238,0
1926,3219.674,1.5903,19365.3175538039,780.0,286.02493743028,2080.653354916081,0
1927,224.193,1.5903,12242.27714137853,780.0,173.69546824664468,0.0,0
1928,271.445,1.5903,3972.773771876289,769.3006213871322,61.314493162756065,0.0,1
1929,416.52299999999997,1.5903,630.915236408714,403.9818766957897,12.541123304210267,0.0,6
1930,404.638,1.5903,834.205306956308,388.94347370141827,15.694526298581664,0.0,7
1931,265.862,1.5903,177.1843664336272,261.04215226464834,4.819847735351646,0.0,9
1932,18.138,1.5903,0.0,17.956993300638104,0.1810066993618987,0.0,12
1933,980.1179999999999,1.5903,4931.425211715607,594.018311054155,94.9643182462035,0.0,3
1934,1924.03,1.5903,15150.602804691398,780.0,237.9243586400026,0.0,0
1935,2171.6710000000003,1.5903,19312.832038529978,780.0,286.02259333562637,911.7902755326027,0
1936,55.066,1.5903,12026.906181477934,780.0,167.48568131038445,0.0,0
1937,356.80400000000003,1.5903,4371.414178527669,780.0,69.2972564723122,0.0,0
1938,135.507,1.5903,68.43574721033258,139.64530950779553,2.0478959009156448,0.0,10
1939,607.0649999999999,1.5903,1603.983794313461,575.6068720868044,31.458127913195593,0.0,4
1940,1201.337,1.5903,6857.8415624584195,650.0,121.3998408819951,0.0,2
1941,659.945,1.5903,6063.228166504663,780.0,100.69117530036267,0.0,0
1942,50.524,1.5903,468.27144693229656,252.6123070618722,7.102676755769673,0.0,9
1943,387.185,1.5903,683.1525376266136,374.3316525220609,12.85334747793913,0.0,7
1944,461.337,1.5903,414.6434077393923,402.55588120912256,12.576894795863952,0.0,7
1945,1442.934,1.5903,8612.575202041608,780.0,149.96987104739375,0.0,0
1946,231.624,1.5903,4058.704636302963,729.7116139122685,61.0807390353511,0.0,1
1947,4134.499,1.5903,14609.679179078263,725.2303453115428,254.9636946306382,1214.3049600578192,1
