Data,Inflow,Net_evaporation,storage,vol_reg,evap,vol_vert,falha
1912,1241.629,1.5903,11846.54805469239,636.0,186.4624287889986,0.0,0
1913,834.367,1.5903,12440.037058950924,636.0,190.66500783627419,0.0,0
1914,1499.9080000000001,1.5903,18892.062092535885,636.0,270.8981788004745,140.109452479845,0
1915,169.61499999999998,1.5903,10972.79009466725,636.0,158.51732559685655,0.0,0
1916,532.468,1.5903,8179.765645841503,636.0,129.67711043685546,0.0,0
1917,4126.005,1.5903,19848.443990599862,636.0,306.68956872807604,2080.3574734206627,0
1918,477.406,1.5903,16939.6664297969,636.0,242.3613155844475,0.0,0
1919,0.0,1.5903,9131.462865565716,636.0,131.2475029412424,0.0,0
1920,2126.449,1.5903,15989.638582774538,636.0,256.6348865653947,137.43000381708316,0
1921,1440.277,1.5903,20696.187836263995,636.0,292.8463026096261,507.3922241990854,0
1922,1316.817,1.5903,19620.25803267381,636.0,284.097756690445,398.60123763717866,0
1923,515.31,1.5903,17280.713874313868,636.0,242.68216378073265,0.0,0
1924,6838.252,1.5903,20182.30063073938,636.0,318.9415337543338,5532.832490571544,0
1925,1973.56,1.5903,20184.721481619676,636.0,285.78280877300443,1176.6280507303327,0
1926,3219.674,1.5903,19914.994260109434,636.0,292.7986615993929,2228.6542018390655,0
1927,224.193,1.5903,13906.77350065711,636.0,196.78450089043537,0.0,0
1928,271.445,1.5903,6985.620463817056,636.0,108.39855363058231,0.0,0
1929,416.52299999999997,1.5903,3322.356609770348,636.0,56.95583533540485,0.0,0
1930,404.638,1.5903,1101.53389995174,393.91840704974635,21.29195933264654,0.0,5
1931,265.862,1.5903,280.3547782114537,259.684399343771,6.177600656228954,0.0,8
1932,18.138,1.5903,0.0,17.956993300638104,0.1810066993618987,0.0,12
1933,980.1179999999999,1.5903,5346.386981059786,486.01831105415505,102.71177545751279,0.0,3
1934,1924.03,1.5903,16709.86090448149,636.0,257.5495494855009,50.173668144479734,0
1935,2171.6710000000003,1.5903,20247.597457763444,636.0,295.19112580254193,1152.0823380961915,0
1936,55.066,1.5903,13567.523011571131,636.0,189.246300792481,0.0,0
1937,356.80400000000003,1.5903,7278.810468715086,636.0,113.93390033263206,0.0,0
1938,135.507,1.5903,1465.8272297857159,411.10191574409066,21.18711509041455,0.0,5
1939,607.0649999999999,1.5903,2146.102084047308,564.2311378842264,42.83386211577364,0.0,2
1940,1201.337,1.5903,7376.243499736691,530.0,130.34244917182275,0.0,2
1941,659.945,1.5903,8071.19401246662,636.0,130.57463094238292,0.0,0
1942,50.524,1.5903,2140.8336207728976,455.3911161286731,29.497803757121087,0.0,4
1943,387.185,1.5903,890.1319325002758,370.02707824657926,17.157921753420766,0.0,6
1944,461.337,1.5903,553.4392922006408,387.3509455373763,15.854344175567066,0.0,6
1945,1442.934,1.5903,9505.19970201701,636.0,163.58221542280867,0.0,0
1946,231.624,1.5903,6412.676357254777,636.0,99.1172846060748,0.0,0
1947,4134.499,1.5903,15619.908502270808,636.0,267.31411788453914,1489.175092373634,0
1948,754.808,1.5903,21293.702761429002,636.0,290.0119413235974,406.9724389814444,0
1949,341.812,1.5903,14612.665770712354,636.0,208.78961724652453,0.0,0
1950,1642.371,1.5903,17006.97110576735,636.0,261.36392085867374,223.26167763856756,0
1951,93.261,1.5903,12871.046898412591,636.0,181.9096978500834,0.0,0
1952,143.46699999999998,1.5903,5102.432862922205,636.0,77.8670131881275,0.0,0
1953,117.835,1.5903,165.70094881197335,199.75596878839207,3.621724124589162,0.0,10
1954,81.44500000000001,1.5903,0.0,80.66838032143274,0.7766196785672616,0.0,12
